text,target
"

Specifically, which changes are you talking about?  Are you arguing
that the motto is interpreted as offensive by a larger portion of the
population now than 40 years ago?",0
,9
"
I am selling a Western Digital 212 meg IDE HD, the Caviar 2200 model.  The 
access time is <15 ms, and it has a built in cache.  It is BRAND NEW, still
in the original static bag.  Asking $275, obo.  

",6
"

I have a Maxtor 212MB on an ISA IDE controller, although my machine is
DX2/66 VLB. I has the save transfer rate of 0.647 MB/s regardless of
the variations of the ISA bus speed. I tested it with speed between
5.5MHz and 8.33MHz. Not _any_ difference. The problem is not the
interface between the controller and the memory.

My advice: Buy 4Megs of RAM, save $70 and enjoy performance.

--
Penio Penev  x7423 (212)327-7423 (w) Internet: penev@venezia.rockefeller.edu",3
"I'm looking for the best source for SIMMs in the USA. I'm not looking for
   the lowest prices, but rather for the best quality SIMMs and the one with
   the lowest rate of defective SIMMs. I know the chip Merchant has good 
   prices but they seems to have a high rate of returned SIMMs.
   Does anyone know how many SIMMs you have to purchase to obtain quantity
   discount ?.
   Thank you.

",4
"Just some thoughts:

I don't usually like to post simply to make fun of a player,
but this time I couldn't resist.  During the Pens-Devils game
last night, second period, I think Kevin Stevens was in the
penalty box, Nicholls punched Kjell Samuellson in the face,
then raised his stick like a two handed sword to defend
himself!  All Kjell could do, at 8'7"" and 355 pounds, was laugh!

And speaking of Swedish Penguins defensemen, Ulf is getting a
little out of hand lately.  His cheap shots are getting more
frequent and more violent.  As everybody in the Meadowlands
except for the officials could see last night, he rammed the
butt of his stick down one of the Devil's throat.  I've always
supported the argument ""he does his job by being irritating,""
but he's starting to push it over the edge IMHO.  Of course,
Holik's chop to Barrasso's neck wasn't too sportsmanlike either.
It seems that he was following the ""The only way to beat the
Penguins is to injure them"" philosophy.

As my Modern Drama professor pointed out to me the other day,
Jagr was stoned pretty well Tuesday night, and last night as
well, although the 30 seconds he danced around the Devils end
was pretty exciting.",10
"Archive-name: space/net
Last-modified: $Date: 93/04/01 14:39:15 $

NETWORK RESOURCES

OVERVIEW

    You may be reading this document on any one of an amazing variety of
    computers, so much of the material below may not apply to you. In
    general, however, systems connected to 'the net' fall in one of three
    categories: Internet, Usenet, or BITNET. Electronic mail may be sent
    between these networks, and other resources available on one of these
    networks are sometimes accessible from other networks by email sent to
    special 'servers'.

    The space and astronomy discussion groups actually are composed of
    several mechanisms with (mostly) transparent connections between them.

    One mechanism is the mailing list, in which mail is sent to a central
    distribution point which relays it to all recipients of the list. In
    addition to the general lists for space (called SPACE Digest for
    Internet users, and SPACE on BITNET), there are a number of more
    specialized mailing lists described below.

    A second mechanism is Usenet 'netnews'. This is somewhat like a bulletin
    board operating on each system which is a part of the net. Netnews
    separates contributions into hundreds of different categories based on a
    'group name'. The groups dealing most closely with space topics are
    called 'sci.space.news', 'sci.space', 'sci.space.shuttle', 'sci.astro',
    and 'talk.politics.space'. Contributors 'post' submissions (called
    'articles' in netnews terminology) on their local machine, which sends
    it to other nearby machines. Similarly, articles sent from nearby
    machines are stored locally and may be forwarded to other systems, so
    that an article is posted locally and eventually reaches all the Usenet
    sites interested in receiving the news group to which the article was
    posted.

    Gateway machines redirect the Usenet sci.space group into Internet and
    BITNET mailing lists and vice versa; the other Usenet groups are not
    accessible as mailing lists. If you can receive netnews, its more
    flexible interface and access to a wider range of material usually make
    it the preferred option.

MAILING LISTS

    SPACE Digest is the main Internet list, and is now being run by the
    International Space University (in only its second change of management
    in over a decade). Email space-request@isu.isunet.edu (message body
    should be in the format 'subscribe space John Public') to join. Note
    that the moderated SPACE Magazine list is defunct at present for lack of
    a moderator. Old copies of SPACE Digest since its inception in 1981 are
    available by anonymous FTP. Retrieve
	julius.cs.qub.ac.uk:pub/SpaceDigestArchive/README
    for further details.

    Elements is a moderated list for fast distribution of Space Shuttle
    Keplerian Elements before and during Shuttle flights. NASA two line
    elements are sent out on the list from Dr. Kelso, JSC, and other sources
    as they are released. Email to elements-request@telesoft.com to join.

    GPS Digest is a moderated list for discussion of the Global Positioning
    System and other satellite navigation positioning systems. Email to
    gps-request@esseye.si.com to join.

    Space-investors is a list for information relevant to investing in
    space-related companies. Email Vincent Cate (vac@cs.cmu.edu) to join.

    Space-tech is a list for more technical discussion of space topics;
    discussion has included esoteric propulsion technologies, asteroid
    capture, starflight, orbital debris removal, etc. Email to
    space-tech-request@cs.cmu.edu to join. Archives of old digests and
    selected excerpts are available by anonymous FTP from
    gs80.sp.cs.cmu.edu (128.2.205.90) in /usr/anon/public/space-tech,
    or by email to space-tech-request if you don't have FTP access.

    SEDS-L is a BITNET list for members of Students for the Exploration and
    Development of Space and other interested parties. Email
    LISTSERV@TAMVM1.BITNET with a message saying ""SUBSCRIBE SEDS-L your
    name"". Email saying ""INDEX SEDS-L"" to list the archive contents.

    SEDSNEWS is a BITNET list for news items, press releases, shuttle status
    reports, and the like. This duplicates material which is also found in
    Space Digest, sci.space, sci.space.shuttle, and sci.astro. Email
    LISTSERV@TAMVM1.BITNET saying ""SUBSCRIBE SEDSNEWS your name"" to join.
    Email saying ""INDEX SEDSNEWS"" to list the archive contents.

    Ron Baalke (baalke@kelvin.jpl.nasa.gov) runs a mailing list which
    carries the contents of the sci.space.news Usenet group. Email him
    to join the list.

    As a general note, please mail to the *request* address to get off a
    mailing list. SPACE Digest, for example, relays many inappropriate
    'please remove me from this list' messages which are sent to the list
    address rather than the request address.

PERIODICALLY UPDATED INFORMATION

    In addition to this FAQ list, a broad variety of topical information is
    posted to the net (unless otherwise noted, in the new group
    sci.space.news created for this purpose). Please remember that the
    individuals posting this information are performing a service for all
    net readers, and don't take up their time with frivolous requests.

    ACRONYMS
	Garrett Wollman (wollman@UVM.EDU) posts an acronym list around the
	first of each month.

    ASTRO-FTP LIST
	Veikko Makela (veikko.makela@helsinki.fi) posts a monthly list of
	anonymous FTP servers containing astronomy and space related
	material to sci.space and sci.astro.

    AVIATION WEEK
	Henry Spencer (henry@zoo.toronto.edu) posts summaries of
	space-related stories in the weekly _Aviation Week and Space
	Technology_.

    BUYING TELESCOPES
	Ronnie Kon (ronnie@cisco.com) posts a guide to buying telescopes to
	sci.astro.

    ELECTRONIC JOURNAL OF THE ASA
	Don Barry (don@chara.gsu.edu) posts the monthly Electronic Journal
	of the Astronomical Society of the Atlantic to sci.astro.

    FLIGHT INTERNATIONAL
	Swaraj Jeyasingh (sjeyasin@axion.bt.co.uk) posts summaries of
	space-related news from _Flight International_. This focuses more on
	non-US space activities than Aviation Week.

    LARGE ASTRONOMICAL PROJECTS
	Robert Bunge (rbunge@access.digex.com) posts a list describing many
	""Large Telescope Projects Either Being Considered or in the Works""
	to sci.astro.

    NASA HEADLINE NEWS & SHUTTLE REPORTS
	Peter Yee (yee@ames.arc.nasa.gov) posts a variety of NASA material,
	including NASA Headline News (with the schedule for NASA SELECT),
	shuttle payload briefings and flight manifests, and KSC shuttle
	status reports. For Usenet users, much of this material appears in
	the group sci.space.shuttle.

    NASA UPDATES
	Ron Baalke (baalke@kelvin.jpl.nasa.gov) posts frequent updates from
	JPL, Ames, and other centers on the Ulysses, Gailileo, Pioneer,
	Magellan, Landsat, and other missions.

    ORBITAL ELEMENT SETS
	TS Kelso (tkelso@blackbird.afit.af.mil) posts orbital elements from
	NASA Prediction Bulletins.

	Mike Rose (mrose@stsci.edu) posts orbital elements for the Hubble
	Space Telescope to sci.astro.

	Jost Jahn (j.jahn@abbs.hanse.de) posts ephemerides for asteroids,
	comets, conjunctions, and encounters to sci.astro.

    SATELLITE LAUNCHES
	Richard Langley (lang@unb.ca) posts SPACEWARN Bulletin, which
	describes recent launch/orbital decay information and satellites
	which are useful for scientific activities. Recent bulletins are
	available by anonymous FTP from nssdca.gsfc.nasa.gov in
	ANON_DIR:[000000.ACTIVE.SPX].

    SHUTTLE MANIFEST
	Ken Hollis (gandalf@pro-electric.cts.com) posts a compressed version
	of the Space Shuttle launch manifest to sci.space.shuttle. This
	includes dates, times, payloads, and information on how to see
	launches and landings.

    SOLAR ACTIVITY
	Cary Oler (oler@hg.uleth.ca) posts Solar Terrestrial reports
	(describing solar activity and its effect on the Earth) to
	sci.space. The report is issued in part from data released by the
	Space Enviroment Services Center, Boulder Colorado. The intro
	document needed to understand these reports is available by
	anonymous FTP from solar.stanford.edu (36.10.0.4) in
	pub/understanding_solar_terrestrial_reports. nic.funet.fi
	(128.214.6.100) also has this document in
	/pub/misc/rec.radio.shortwave/solarreports and is an archive site
	for the reports (please note this site is in Europe, and the
	connection to the US is only 56KB). A new primary archive site,
	xi.uleth.ca (142.66.3.29), has recently been established and will be
	actively supported.

    SOVIET SPACE ACTIVITIES
	Glenn Chapman (glennc@cs.sfu.ca) posts summaries of Soviet space
	activities.

    SPACE ACTIVIST NEWSLETTER
	Allen Sherzer (aws@iti.org) posts a newsletter, ""One Small Step for
	a Space Activist,"" to talk.politics.space. It describes current
	legislative activity affecting NASA and commercial space activities.

    SPACE EVENTS CALENDAR
	Ron Baalke (baalke@kelvin.jpl.nasa.gov) posts a calendar including
	anniversaries, conferences, launch dates, meteor showers and
	eclipses, and other space-related events.

    SPACE NEWS
	John Magliacane (kd2bd@ka2qhd.UUCP) posts ""SpaceNews"" (covering
	AMSATs, NOAA and other weather satellites, and other ham
	information) to rec.radio.amateur.misc and sci.space.

    SPACE REPORT
	Jonathan McDowell (mcdowell@cfa.harvard.edu) posts ""Jonathan's Space
	Report"" covering launches, landings, reentries, status reports,
	satellite activities, etc.

    TOWARD 2001
	Bev Freed (freed@nss.fidonet.org) posts ""Toward 2001"", a weekly
	global news summary reprinted from _Space Calendar_ magazine.


WARNING ABOUT NON-PUBLIC NETWORKS

    (Included at the suggestion of Eugene Miya, who wrote the item)

    NASA has an internal system of unclassified electronic mail and bulletin
    boards. This system is not open for public use. Specifically, NASA
    personnel and procurement operations are regarded with some sensitivity.
    Contractors must renegotiate their contracts. The Fair and Open
    Procurement Act does not look kindly to those having inside information.
    Contractors and outsiders caught using this type of information can
    expect severe penalities. Unauthorized access attempts may subject you
    to a fine and/or imprisonment in accordance with Title 18, USC, Section
    1030. If in fact you should should learn of unauthorized access, contact
    NASA personnel.

    Claims have been made on this news group about fraud and waste. None
    have ever been substantiated to any significant degree. Readers
    detecting Fraud, Waste, Abuse, or Mismanagement should contact the NASA
    Inspector General (24-hours) at 800-424-9183 (can be anonymous) or write

	NASA
	Inspector General
	P.O. Box 23089
	L'enfant Plaza Station
	Washington DC 20024",14
"Selling -

          Arnet Multiport card. Four serial ports on one card (16450s)
with docs and drivers for OS/2 and DOS (works great with Unix flavors
too).  Aggregate is probably around 64Kb.

   Offers?  Also willing to swap for monitor.",3
"
I think it was - he went into town fairly often, and was known to go
jogging.  This was even during the 9 month period when he was being
watched.  One wonders why the BATF went ahead, when they had been warned
according to an interview with a BATF agent, that the BD were expecting
them, and why they had the media in tow.  Almost looks like they wanted
to have a romp and a nice show for the media, and it all went to hell...

He was also never known to act violently.  He has always surrendered
peacefully before (but of course, the warrants were served peacefully).
He has been tried on the allegations before and found NOT GUILTY.

The justification for this mess was he was alleged to have purchased
$200,000.00 worth of guns and stuff (over an undetermined time period).
Last I heard this is not a crime, or indication of one.  I know of an
INDIVIDUAL with that much value in guns.  SHould he get a fly-thru-the-door
shoot-first-talk-later raid?  (grenades are shooting first, nobody I
know of can say 'oh, thats only a stun grenade, thats OK...').  Can you?
I sure cannot.  Also, one cannot be sure that 200K figure is not calculated
like the Feds calculate the value of a drug siezure...  Even so, it
is a 'so what' issue...  He wasn't bothering anyone (besides the
BATF who doesn't like folks other than themselves or other govt
people having any effective guns)... and having an unapproved
religeous group.  Are we required to not offend the BATF these
days?  I sure hope it hasn't come to THAT...

MY point is, it DOES NOT ADD UP.  We need an independent investigation,
and NOW.  Assuming other than FBI/BATF are preserving the evidence.


They had the premisis bugged.  I am inclined to think a further wait
would have saved lives.  One wonders why they didn't have emergency
gear on hand when they moved, and why they didn't turn on the water
when a fire was observed, instead of saying ""aw, gee, there is no water"".

Why so long before the fire gear even SHOWED UP - like after the building
had pretty much finished burning?  Fireman safety?  Isn't that a decision
the firefighters should be allowed to make?  No water?  Why didn't
the Feds TURN IT BACK ON?  They sure could cut it off quickly enough...

One does wonder about the possibility of 'settling scores'...


What does 'taking responsibility' mean?  You think she is going to be
facing jail time if the acts were found to be criminal?  You think
she is going to face ANY repercussions if the FBI/BATF are found to
have acted wrongly?  I don't.  It is a nice PR gimmick, though.

I am not assured there will even be a serious independent investigation
for possible wrongdoing or criminal acts on the part of the BATF or FBI.
I expect to hear ""they are our best law enforcement.  They wouldn't do
anything like that - NO WAY.  OUT of the QUESTION.  End of issue"".

I want to see an INDEPENDENT investigation, with full prosecuting and
subpoena powers.  With felony prosecution where felony acts are found.
Fat chance, I bet.  I bet the Justice Dept will have an internal
investigation which will turn up at most 'poor judgement'.

I hope I am wrong, that this is gone over with a fine tooth comb.
",16
"Forwarded from Neal Ausman, Galileo Mission Director

                                 GALILEO
                     MISSION DIRECTOR STATUS REPORT
                               POST-LAUNCH
                           April 23 - 29, 1993

SPACECRAFT

1.  On April 22 and 23, delta Differenced One-way Range (DOR) passes were
performed over DSS-14/63 (Goldstone/Madrid 70 meter antennas) and DSS-14/43
(Goldstone/Canberra 70 meter antennas), respectively.  Initial results 
indicate the delta DOR pass on April 22 was unsuccessful due to ground
station hardware problems but the one on April 23 was successfully performed.

2.  On April 23, a cruise science Memory Readout (MRO) was performed for the
Magnetometer (MAG) instrument.  Analysis indicates the data was received
properly.

3.  On April 23, the spare power relay contacts were commanded closed via the
spacecraft stored sequence.  These relays were commanded closed by the CDS
(Command Data Subsystem) prior to launch and were again commanded closed to
preclude the possibility at Jupiter of the PPS relays/wiring being a
source of internal electrostatic charge (IESD).

4.  On April 26, cruise science Memory Readouts (MRO) were performed for the
Extreme Ultraviolet Spectrometer (EUV), Dust Detector (DDS), and Magnetometer
(MAG) instruments.  Preliminary analysis indicates the data was received
properly.

5.  During the period from April 26 to April 27, a navigation cycle was
performed.  This navigation cycle provided near-continuous acquisition of
two-way doppler and ranging data during three consecutive passes of the
spacecraft over DSS-63, DSS-14, and DSS-43.

6.  On April 26, real-time commands were sent to test slew the Radio Relay
Antenna (RRA) in preparation for the mini-sequence slew test on April 28.
The RRA was slewed from approximately 3.5 degrees from stow to approximately
20.3 degrees.  Preliminary analysis indicated the antenna slewed to about 18
degrees which was well within the predicted range.  The RRA was commanded back
to approximately 15.2 degrees from stow.  Preliminary analysis indicated the
antenna reached about 15.8 degrees also well within the predicted range.  The
RRA motor temperature was at 1 degree C at the start of the activity and had
increased to 1.6 degrees C at its completion.

     After verifying proper RRA slewing, the RRA slew test mini-sequence was
uplinked to the spacecraft for execution on April 28.  Upon successful uplink,
a Delayed Action Command (DAC) was sent which will reposition the stator on
May 4 to its initial pre-test position.  Also, a DAC was sent to turn the
Two-Way Noncoherent (TWNC) on April 28 prior to the start of the RRA slew test
mini-sequence.

7.  On April 27, a NO-OP command was sent to reset the command loss timer to
264 hours, its planned value during this mission phase.

8.  On April 28, the RRA slew test executed nominally.  The spacecraft under
stored sequence control performed six RRA slews starting at about 16 degrees
from stow and going to 53 degrees, back to 25 degrees, then to 51 degrees,
back to 22 degrees, then to 48 degrees and then back to 21 degrees.  All of
the slews were well within the predicted range.  The RRA motor temperature was
at 2.3 degrees C at the start of the activity and had increased to 4.4
degrees C at its completion.  After completion of the RRA slews, real-time
commands were sent to reconfigure back to the pre-test configuration.

9.  The AC/DC bus imbalance measurements have not exhibited significant change
(greater than 25 DN) throughout this period.  The AC measurement reads 17 DN
(3.9 volts).  The DC measurement reads 134 DN (15.7 volts).  These
measurements are consistent with the model developed by the AC/DC special
anomaly team.

10. The Spacecraft status as of April 29, 1993, is as follows:

       a)  System Power Margin -  75 watts
       b)  Spin Configuration - Dual-Spin
       c)  Spin Rate/Sensor - 3.15rpm/Star Scanner
       d)  Spacecraft Attitude is approximately 23 degrees
           off-sun (lagging) and 4 degrees off-earth (leading)
       e)  Downlink telemetry rate/antenna- 40bps(coded)/LGA-1
       f)  General Thermal Control - all temperatures within
           acceptable range
       g)  RPM Tank Pressures - all within acceptable range
       h)  Orbiter Science- Instruments powered on are the PWS,
           EUV, UVS, EPD, MAG, HIC, and DDS
       i)  Probe/RRH - powered off, temperatures within
           acceptable range
       j)  CMD Loss Timer Setting - 264 hours
           Time To Initiation - 203 hours


GDS (Ground Data Systems):

1.  The first Galileo-GDS test of the MGDS V18.0 Command System (CMD) took
place April 27, 1993 with DSS-61 (Madrid 34 meter antenna).  The test went
well and demonstrated that the new command system interfaced with the new DSN
(Deep Space Network) Group 5 Command Processor Assembly (CPA).  The test was
successful and the next test for V18.0 CMD is scheduled for May 1, 1993 with
DSS-15 (Goldstone 34 meter antenna).

2.  The April System Engineers Monthly Report(SEMR)/Ground System Development
Office (GSDO) MMR was conducted Thursday, April 29.   A review of current
Project and Institutional (DSN and MOSO) system status was conducted.  On-going
cruise development plus the GSDO Phase 1 and 2 delivery schedules, past months
accomplishments  and potential problem areas were discussed.  No significant
schedule changes or significant problems were reported.


TRAJECTORY

     As of noon Thursday, April 29, 1993, the Galileo Spacecraft trajectory
status was as follows:

	Distance from Earth         187,745,300 km (1.26 AU)
	Distance from Sun           296,335,800 km (1.98 AU)
	Heliocentric Speed          89,100 km per hour
	Distance from Jupiter       522,015,800 km
	Round Trip Light Time       20 minutes, 58 seconds

SPECIAL TOPIC",14
"I have tested both vehicles (identically
equipped), both for week-long periods.
Curiously (and consider these are test
vehicles), I found the Mercury higher
in build quality than the Nissan.

Either choice is good, but beware that
I did not experience reasonable mileage
with the V6.  Average city driving was
<15mpg, with about 21 avg. on the highway.

Both were optioned to the hilt (the Nissan
had leather!).  The Villager was in the
$24K range and the Nissan was over $26K.",7
"

But of course, it is expected that umpires will show up players.

Don't get me wrong, I understand the nature of the game, but I just 
believe that a little ego-ectomy for the umpires would make the game 
much better.

Ted

--
""Social nags and body bags, make you dead, what a drag drag drag.""
-- Saigon Kick, body bags, The Lizard               ",9
"
Hi!

One of the ASPI-drivers (I think it's the ASPICD) supports a /NORST
paramter, which means to not reset the SCSI bus when it loads. This
fixed the problem a friend of mine was having with his adaptec+tosh 
3401.

Regards,",3
"Wow!  It's sad to see that the University of Virginia has begun
to produce such a virulent breed of Jew-haters and self-hating
Jews!  
",17
"Excerpts from netnews.comp.sys.mac.misc: 5-Apr-93 Re: HELP INSTALL RAM
ON CEN.. by Jason Harvey Titus@farad 



oh boy am i confused, I thought the entire point of the 72 pin simms was
that you could use diffrent size simms so you could avoid having to use
sets.  all horror stories not withstanding.",4
"..
...

It sounds like she has a problem.  She has a problem opening up to her
husband so she is lesbian.  WHAT? In a marrige, a couple is supposed
to open up to each other.  Because she didn't feel comfortable opening
up to her husband she gets a divorce and comes to the conclusion that
she is lesbian.  Before anyone gets maried they should make sure that
they would feel comfortable ""open up the deepest part of her soul to
her husband"".  ""Sex, in her mind, is only a part of the whole
relationship.""  Did she think it was diffrent with a man. That might
be her problem.",15
"Re: serious discussion about drugs vs. ""Where can I get a good bong, man?""",13
"
For example, I would claim that the recent assassination of four
catholic construction workers who had no connection with the IRA
was probably religously motivated.


What would you call is when someone writes ""The killings in N.I 
are not religously motivated?""


Given that the avowed aim of the IRA is to take Northern Ireland
into a country that has a particular church written into its 
constitution, and which has restriction on civil rights dictated
by that Church, I fail to see why the word ""past"" is appropriate.



You don't have to hand us a bunch of double-talk about what
I was ""seemingly"" attacking.   I *quoted* what I was attacking.",0
"..deleted...

In plain Motify using a dialog 'in-line' like this simply isn't done. You need
to set callbacks from the buttons/widgets in your dialog and let the callback routines
do the work. In the callbacks you can then carry on the flow of logic. 

XView from Sun actually supports this very neatly with a 'Notify' box, which can
return a status in-line, it does actualy ease coding but goes against the event
driven style of an application.

Summary: Redesign required.

",5
"
 Computers are a special case.. and it's a pretty good idea to
 leave them on.. cuz everytime you turn on a computer, you're 
 putting a surge of electricity through its delicate components.
  Imagine you're turning on your computer 5 or more times a day.
 You're increasing the chances of damaging the chips, memory,
 etc on all the components of your computer. So you may save
 a few cents here and there in electricity bills, but it won't
 look like much when it come time to fix your computer.",3
